"collectionCode","catalogNumber","verbatimDecimalLatitude","verbatimDecimalLongitude"
"Fish","53123","90.22083","-38.99722"
"Fish","198132","35.4994","-8114591"
"Fish","198133","35.4994","-8114591"
"Fish","198134","35.4994","-8114591"
"Fish","198135","35.4994","-8114591"
"Fish","199187","35.4994","-8114591"
"Fish","199188","35.4994","-8114591"
"Fish","199189","35.4994","-8114591"
"Fish","199190","35.4994","-8114591"
"Fish","199363","35.4994","-8114591"
"Fish","199364","35.4994","-8114591"
